@relation InstanceResultListener

@attribute Key_Dataset {train_nominal-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R20-weka.filters.unsupervised.attribute.NumericToNominal-R19-weka.filters.unsupervised.attribute.NumericToNominal-R18-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.NumericToNominal-R2}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.rules.ZeroR,weka.classifiers.rules.JRip,weka.classifiers.trees.J48,weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'','-F 3 -N 2.0 -O 2 -S 1','-C 0.25 -M 2','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {48055541465867954,-6589312996832147161,-217733168393644444,1116839470751428698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 92\nSize of the tree: 183\n','Number of leaves: 101\nSize of the tree: 201\n','Number of leaves: 87\nSize of the tree: 173\n','Number of leaves: 88\nSize of the tree: 175\n','Number of leaves: 97\nSize of the tree: 193\n','Number of leaves: 95\nSize of the tree: 189\n','Number of leaves: 93\nSize of the tree: 185\n','Number of leaves: 83\nSize of the tree: 165\n','Number of leaves: 100\nSize of the tree: 199\n','Number of leaves: 99\nSize of the tree: 197\n','Number of leaves: 96\nSize of the tree: 191\n','Number of leaves: 90\nSize of the tree: 179\n','Number of leaves: 86\nSize of the tree: 171\n','Number of leaves: 91\nSize of the tree: 181\n','Number of leaves: 105\nSize of the tree: 209\n','Number of leaves: 103\nSize of the tree: 205\n','Number of leaves: 98\nSize of the tree: 195\n','Number of leaves: 82\nSize of the tree: 163\n','Number of leaves: 85\nSize of the tree: 169\n','Number of leaves: 89\nSize of the tree: 177\n','Number of leaves: 107\nSize of the tree: 213\n','Number of leaves: 102\nSize of the tree: 203\n','Number of leaves: 94\nSize of the tree: 187\n','Number of leaves: 106\nSize of the tree: 211\n'}
@attribute measureNumRules numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureOutOfBagError numeric

@data

train_nominal-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R20-weka.filters.unsupervised.attribute.NumericToNominal-R19-weka.filters.unsupervised.attribute.NumericToNominal-R18-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.NumericToNominal-R2,1,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20190402.0659,1800,200,50,150,0,25,75,0,0,0.375,0.433013,100,100,400,400,0,2,2,0,0,0,0,1,50,1,150,0,0,0,0,0.25,1,0.4,?,0.5,0.25,0.25,0.25,0.75,0.75,?,0.25,?,?,0.5,0.25,?,0.25,0.001,0,0,0,0,0,940,357588,42388,100,100,?,?,?,?,?
train_nominal-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R20-weka.filters.unsupervised.attribute.NumericToNominal-R19-weka.filters.unsupervised.attribute.NumericToNominal-R18-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.NumericToNominal-R2,1,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20190402.0659,1800,200,50,150,0,25,75,0,0,0.375,0.433013,100,100,400,400,0,2,2,0,0,0,0,1,50,1,150,0,0,0,0,0.25,1,0.4,?,0.5,0.25,0.25,0.25,0.75,0.75,?,0.25,?,?,0.5,0.25,?,0.25,0,0.001,0,0,0,0,940,357588,42388,100,100,?,?,?,?,?
train_nominal-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R20-weka.filters.unsupervised.attribute.NumericToNominal-R19-weka.filters.unsupervised.attribute.NumericToNominal-R18-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.NumericToNominal-R2,1,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20190402.0659,1800,200,50,150,0,25,75,0,0,0.375,0.433013,100,100,400,400,0,2,2,0,0,0,0,1,50,1,150,0,0,0,0,0.25,1,0.4,?,0.5,0.25,0.25,0.25,0.75,0.75,?,0.25,?,?,0.5,0.25,?,0.25,0,0,0,0,0,0,940,357588,42388,100,100,?,?,?,?,?
train_nominal-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R20-weka.filters.unsupervised.attribute.NumericToNominal-R19-weka.filters.unsupervised.attribute.NumericToNominal-R18-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.NumericToNominal-R2,1,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20190402.0659,1800,200,50,150,0,25,75,0,0,0.375,0.433013,100,100,400,400,0,2,2,0,0,0,0,1,50,1,150,0,0,0,0,0.25,1,0.4,?,0.5,0.25,0.25,0.25,0.75,0.75,?,0.25,?,?,0.5,0.25,?,0.25,0,0,0,0,0,0,940,357588,42388,100,100,?,?,?,?,?
train_nominal-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R20-weka.filters.unsupervised.attribute.NumericToNominal-R19-weka.filters.unsupervised.attribute.NumericToNominal-R18-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.NumericToNominal-R2,1,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20190402.0659,1800,200,50,150,0,25,75,0,0,0.375,0.433013,100,100,400,400,0,2,2,0,0,0,0,1,50,1,150,0,0,0,0,0.25,1,0.4,?,0.5,0.25,0.25,0.25,0.75,0.75,?,0.25,?,?,0.5,0.25,?,0.25,0,0.001,0,0,0,0,940,357588,42388,100,100,?,?,?,?,?
train_nominal-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R20-weka.filters.unsupervised.attribute.NumericToNominal-R19-weka.filters.unsupervised.attribute.NumericToNominal-R18-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.NumericToNominal-R2,1,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20190402.0659,1800,200,50,150,0,25,75,0,0,0.375,0.433013,100,100,400,400,0,2,2,0,0,0,0,1,50,1,150,0,0,0,0,0.25,1,0.4,?,0.5,0.25,0.25,0.25,0.75,0.75,?,0.25,?,?,0.5,0.25,?,0.25,0,0.001,0,0,0,0,940,357588,42388,100,100,?,?,?,?,?
train_nominal-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R20-weka.filters.unsupervised.attribute.NumericToNominal-R19-weka.filters.unsupervised.attribute.NumericToNominal-R18-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.NumericToNominal-R2,1,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20190402.0659,1800,200,50,150,0,25,75,0,0,0.375,0.433013,100,100,400,400,0,2,2,0,0,0,0,1,50,1,150,0,0,0,0,0.25,1,0.4,?,0.5,0.25,0.25,0.25,0.75,0.75,?,0.25,?,?,0.5,0.25,?,0.25,0.001,0,0,0,0,0,940,357588,42388,100,100,?,?,?,?,?
train_nominal-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R20-weka.filters.unsupervised.attribute.NumericToNominal-R19-weka.filters.unsupervised.attribute.NumericToNominal-R18-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.NumericToNominal-R2,1,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20190402.0659,1800,200,50,150,0,25,75,0,0,0.375,0.433013,100,100,400,400,0,2,2,0,0,0,0,1,50,1,150,0,0,0,0,0.25,1,0.4,?,0.5,0.25,0.25,0.25,0.75,0.75,?,0.25,?,?,0.5,0.25,?,0.25,0.001,0,0,0,0,0,940,357588,42388,100,100,?,?,?,?,?
train_nominal-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R20-weka.filters.unsupervised.attribute.NumericToNominal-R19-weka.filters.unsupervised.attribute.NumericToNominal-R18-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.NumericToNominal-R2,1,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20190402.0659,1800,200,50,150,0,25,75,0,0,0.375,0.433013,100,100,400,400,0,2,2,0,0,0,0,1,50,1,150,0,0,0,0,0.25,1,0.4,?,0.5,0.25,0.25,0.25,0.75,0.75,?,0.25,?,?,0.5,0.25,?,0.25,0,0.001,0,0,0,0,940,357588,42388,100,100,?,?,?,?,?
train_nominal-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R20-weka.filters.unsupervised.attribute.NumericToNominal-R19-weka.filters.unsupervised.attribute.NumericToNominal-R18-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.NumericToNominal-R2,1,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20190402.0659,1800,200,50,150,0,25,75,0,0,0.375,0.433013,100,100,400,400,0,2,2,0,0,0,0,1,50,1,150,0,0,0,0,0.25,1,0.4,?,0.5,0.25,0.25,0.25,0.75,0.75,?,0.25,?,?,0.5,0.25,?,0.25,0,0,0,0,0,0,940,357588,42388,100,100,?,?,?,?,?
train_nominal-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R20-weka.filters.unsupervised.attribute.NumericToNominal-R19-weka.filters.unsupervised.attribute.NumericToNominal-R18-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.NumericToNominal-R2,2,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20190402.0659,1800,200,50,150,0,25,75,0,0,0.375,0.433013,100,100,400,400,0,2,2,0,0,0,0,1,50,1,150,0,0,0,0,0.25,1,0.4,?,0.5,0.25,0.25,0.25,0.75,0.75,?,0.25,?,?,0.5,0.25,?,0.25,0.001,0,0,0,0,0,940,357588,42388,100,100,?,?,?,?,?
train_nominal-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R20-weka.filters.unsupervised.attribute.NumericToNominal-R19-weka.filters.unsupervised.attribute.NumericToNominal-R18-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.NumericToNominal-R2,2,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20190402.0659,1800,200,50,150,0,25,75,0,0,0.375,0.433013,100,100,400,400,0,2,2,0,0,0,0,1,50,1,150,0,0,0,0,0.25,1,0.4,?,0.5,0.25,0.25,0.25,0.75,0.75,?,0.25,?,?,0.5,0.25,?,0.25,0,0.001,0,0,0,0,940,357588,42388,100,100,?,?,?,?,?
train_nominal-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R20-weka.filters.unsupervised.attribute.NumericToNominal-R19-weka.filters.unsupervised.attribute.NumericToNominal-R18-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.NumericToNominal-R2,2,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20190402.0659,1800,200,50,150,0,25,75,0,0,0.375,0.433013,100,100,400,400,0,2,2,0,0,0,0,1,50,1,150,0,0,0,0,0.25,1,0.4,?,0.5,0.25,0.25,0.25,0.75,0.75,?,0.25,?,?,0.5,0.25,?,0.25,0,0,0,0,0,0,940,357588,42388,100,100,?,?,?,?,?
train_nominal-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R20-weka.filters.unsupervised.attribute.NumericToNominal-R19-weka.filters.unsupervised.attribute.NumericToNominal-R18-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.NumericToNominal-R2,2,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20190402.0659,1800,200,50,150,0,25,75,0,0,0.375,0.433013,100,100,400,400,0,2,2,0,0,0,0,1,50,1,150,0,0,0,0,0.25,1,0.4,?,0.5,0.25,0.25,0.25,0.75,0.75,?,0.25,?,?,0.5,0.25,?,0.25,0.001,0,0,0,0,0,940,357588,42388,100,100,?,?,?,?,?
train_nominal-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R20-weka.filters.unsupervised.attribute.NumericToNominal-R19-weka.filters.unsupervised.attribute.NumericToNominal-R18-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.NumericToNominal-R2,2,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20190402.0659,1800,200,50,150,0,25,75,0,0,0.375,0.433013,100,100,400,400,0,2,2,0,0,0,0,1,50,1,150,0,0,0,0,0.25,1,0.4,?,0.5,0.25,0.25,0.25,0.75,0.75,?,0.25,?,?,0.5,0.25,?,0.25,0,0,0,0,0,0,940,357588,42388,100,100,?,?,?,?,?
train_nominal-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R20-weka.filters.unsupervised.attribute.NumericToNominal-R19-weka.filters.unsupervised.attribute.NumericToNominal-R18-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.NumericToNominal-R2,2,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20190402.0659,1800,200,50,150,0,25,75,0,0,0.375,0.433013,100,100,400,400,0,2,2,0,0,0,0,1,50,1,150,0,0,0,0,0.25,1,0.4,?,0.5,0.25,0.25,0.25,0.75,0.75,?,0.25,?,?,0.5,0.25,?,0.25,0.001,0,0,0,0,0,940,357588,42388,100,100,?,?,?,?,?
train_nominal-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R20-weka.filters.unsupervised.attribute.NumericToNominal-R19-weka.filters.unsupervised.attribute.NumericToNominal-R18-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.NumericToNominal-R2,2,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20190402.0659,1800,200,50,150,0,25,75,0,0,0.375,0.433013,100,100,400,400,0,2,2,0,0,0,0,1,50,1,150,0,0,0,0,0.25,1,0.4,?,0.5,0.25,0.25,0.25,0.75,0.75,?,0.25,?,?,0.5,0.25,?,0.25,0,0,0,0,0,0,940,357588,42388,100,100,?,?,?,?,?
train_nominal-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R20-weka.filters.unsupervised.attribute.NumericToNominal-R19-weka.filters.unsupervised.attribute.NumericToNominal-R18-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.NumericToNominal-R2,2,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20190402.0659,1800,200,50,150,0,25,75,0,0,0.375,0.433013,100,100,400,400,0,2,2,0,0,0,0,1,50,1,150,0,0,0,0,0.25,1,0.4,?,0.5,0.25,0.25,0.25,0.75,0.75,?,0.25,?,?,0.5,0.25,?,0.25,0,0.001,0,0,0,0,940,357588,42388,100,100,?,?,?,?,?
train_nominal-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R20-weka.filters.unsupervised.attribute.NumericToNominal-R19-weka.filters.unsupervised.attribute.NumericToNominal-R18-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.NumericToNominal-R2,2,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20190402.0659,1800,200,50,150,0,25,75,0,0,0.375,0.433013,100,100,400,400,0,2,2,0,0,0,0,1,50,1,150,0,0,0,0,0.25,1,0.4,?,0.5,0.25,0.25,0.25,0.75,0.75,?,0.25,?,?,0.5,0.25,?,0.25,0,0,0,0,0,0,940,357588,42388,100,100,?,?,?,?,?
train_nominal-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R20-weka.filters.unsupervised.attribute.NumericToNominal-R19-weka.filters.unsupervised.attribute.NumericToNominal-R18-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.NumericToNominal-R2,2,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20190402.0659,1800,200,50,150,0,25,75,0,0,0.375,0.433013,100,100,400,400,0,2,2,0,0,0,0,1,50,1,150,0,0,0,0,0.25,1,0.4,?,0.5,0.25,0.25,0.25,0.75,0.75,?,0.25,?,?,0.5,0.25,?,0.25,0,0.001,0,0,0,0,940,357588,42388,100,100,?,?,?,?,?
train_nominal-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R20-weka.filters.unsupervised.attribute.NumericToNominal-R19-weka.filters.unsupervised.attribute.NumericToNominal-R18-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.NumericToNominal-R2,3,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20190402.0659,1800,200,50,150,0,25,75,0,0,0.375,0.433013,100,100,400,400,0,2,2,0,0,0,0,1,50,1,150,0,0,0,0,0.25,1,0.4,?,0.5,0.25,0.25,0.25,0.75,0.75,?,0.25,?,?,0.5,0.25,?,0.25,0,0,0,0,0,0,940,357588,42388,100,100,?,?,?,?,?
train_nominal-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R20-weka.filters.unsupervised.attribute.NumericToNominal-R19-weka.filters.unsupervised.attribute.NumericToNominal-R18-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.NumericToNominal-R2,3,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20190402.0659,1800,200,50,150,0,25,75,0,0,0.375,0.433013,100,100,400,400,0,2,2,0,0,0,0,1,50,1,150,0,0,0,0,0.25,1,0.4,?,0.5,0.25,0.25,0.25,0.75,0.75,?,0.25,?,?,0.5,0.25,?,0.25,0,0,0,0,0,0,940,357588,42388,100,100,?,?,?,?,?
train_nominal-weka.filters.unsupervised.attribute.NumericToNominal-R21-weka.filters.unsupervised.attribute.NumericToNominal-R20-weka.filters.unsupervised.attribute.NumericToNominal-R19-weka.filters.unsupervised.attribute.NumericToNominal-R18-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R4-weka.filters.unsupervised.attribute.NumericToNominal-R2,3,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20190402.0659,1800,200,50,150,0,25,75,0,0,0.375,0.433013,100,100,400,400,0,2,2,0,0,0,0,1,50,1,150,0,0,0,0,0.25,1,0.4,?,0.5,0.25,0.25,0.25,0.75,0.75,?,0.25,?,?,0.5,0.25,?,0.25,0.001,0,0.015625,0,15.625,0,940,357588,42388,100,100,?,?,?,?,?
